Giorno,Frase,Riferimento,Categoria
1,"Poiché io conosco i pensieri che ho per voi, dice il Signore, pensieri di pace e non di male.","Geremia 29:11","Consolazione"
2,"Tutto posso in colui che mi fortifica.","Filippesi 4:13","Esortazione"
3,"Il Signore è il mio pastore: nulla mi mancherà.","Salmo 23:1","Consolazione"
4,"Cercate prima il regno e la giustizia di Dio, e tutte queste cose vi saranno date in più.","Matteo 6:33","Esortazione"
5,"Non temere, perché io sono con te; non ti smarrire, perché io sono il tuo Dio.","Isaia 41:10","Consolazione"
6,"Siate forti e coraggiosi, non temete, perché il Signore cammina con te.","Deuteronomio 31:6","Esortazione"
7,"Gettando su di lui ogni vostra preoccupazione, perché egli ha cura di voi.","1 Pietro 5:7","Consolazione"
8,"La fede è certezza di cose che si sperano, dimostrazione di realtà che non si vedono.","Ebrei 11:1","Edificazione"
9,"Nessuna tentazione vi ha colti, che non sia stata umana; Dio è fedele.","1 Corinzi 10:13","Edificazione"
10,"La gioia del Signore è la vostra forza.","Neemia 8:10","Esortazione"
11,"Quanto a me e alla casa mia, serviremo il Signore.","Giosuè 24:15","Esortazione"
12,"Dio è per noi un rifugio e una forza, un aiuto sempre pronto nelle avversità.","Salmo 46:1","Consolazione"
13,"Deliziati nel Signore ed egli ti darà ciò che il tuo cuore desidera.","Salmo 37:4","Edificazione"
14,"Quelli che sperano nel Signore acquistano nuove forze, si alzano a volo come aquile.","Isaia 40:31","Edificazione"
15,"Non angustiatevi di nulla, ma in ogni cosa fate conoscere le vostre richieste a Dio.","Filippesi 4:6","Esortazione"
16,"Il Signore combatterà per voi e voi ve ne starete tranquilli.","Esodo 14:14","Consolazione"
17,"Gustate e vedete quanto il Signore è buono; beato l'uomo che spera in lui.","Salmo 34:8","Edificazione"
18,"Sii forte e coraggioso! Il Signore, il tuo Dio, sarà con te dovunque andrai.","Giosuè 1:9","Esortazione"
19,"L'amore è paziente, è benevolo; l'amore non invidia.","1 Corinzi 13:4","Edificazione"
20,"Invocami nel giorno della sventura; io ti salverò, e tu mi glorificherai.","Salmo 50:15","Consolazione"
21,"Camminiamo infatti per fede, e non per visione.","2 Corinzi 5:7","Esortazione"
22,"Se Dio è per noi, chi sarà contro di noi?","Romani 8:31","Consolazione"
23,"La tua parola è una lampada al mio piede e una luce sul mio sentiero.","Salmo 119:105","Edificazione"
24,"Confida nel Signore con tutto il cuore e non ti appoggiare sul tuo discernimento.","Proverbi 3:5","Esortazione"
25,"Vi lascio pace; vi do la mia pace. Il vostro cuore non sia turbato.","Giovanni 14:27","Consolazione"
26,"Ogni Scrittura è ispirata da Dio e utile a insegnare ed educare alla giustizia.","2 Timoteo 3:16","Edificazione"
27,"Non stanchiamoci di fare il bene; se infatti non desistiamo, a suo tempo mieteremo.","Galati 6:9","Esortazione"
28,"Gesù Cristo è lo stesso ieri, oggi e in eterno.","Ebrei 13:8","Edificazione"
29,"Venite a me, voi tutti che siete affaticati e oppressi, e io vi darò riposo.","Matteo 11:28","Consolazione"
30,"Sottomettetevi dunque a Dio; ma resistete al diavolo, ed egli fuggirà da voi.","Giacomo 4:7","Esortazione"
31,"Il Signore è la mia luce e la mia salvezza; di chi temerò?","Salmo 27:1","Consolazione"
32,"Riconoscilo in tutte le tue vie, ed egli appianerà i tuoi sentieri.","Proverbi 3:6","Esortazione"
33,"Poiché Dio ha tanto amato il mondo, che ha dato il suo unigenito Figlio.","Giovanni 3:16","Edificazione"
34,"Beati quelli che sono affamati e assetati di giustizia, perché saranno saziati.","Matteo 5:6","Consolazione"
35,"Io sono la via, la verità e la vita; nessuno viene al Padre se non per mezzo di me.","Giovanni 14:6","Edificazione"
36,"Rivestitevi della completa armatura di Dio per poter rimanere ritti.","Efesini 6:11","Esortazione"
37,"Il mio Dio provvederà a ogni vostro bisogno secondo le sue ricchezze.","Filippesi 4:19","Consolazione"
38,"Siate facitori della Parola e non soltanto uditori, illudendo voi stessi.","Giacomo 1:22","Esortazione"
39,"Dio mostra il proprio amore per noi in questo: che, mentre eravamo ancora peccatori, Cristo è morto per noi.","Romani 5:8","Edificazione"
40,"Poiché il salario del peccato è la morte, ma il dono di Dio è la vita eterna.","Romani 6:23","Edificazione"
41,"Chiedete e vi sarà dato; cercate e troverete; bussate e vi sarà aperto.","Matteo 7:7","Esortazione"
42,"Se confessiamo i nostri peccati, egli è fedele e giusto da perdonarci i peccati.","1 Giovanni 1:9","Consolazione"
43,"Grandi cose ha fatto il Signore per noi: eravamo pieni di gioia.","Salmo 126:3","Edificazione"
44,"Non siate in ansietà per il domani, perché il domani si preoccuperà di se stesso.","Matteo 6:34","Esortazione"
45,"Il Signore è vicino a quelli che hanno il cuore spezzato e salva gli spiriti affranti.","Salmo 34:18","Consolazione"
46,"Non conformatevi a questo mondo, ma siate trasformati mediante il rinnovamento della vostra mente.","Romani 12:2","Esortazione"
47,"Chi ci separerà dall'amore di Cristo? Sarà forse la tribolazione, l'angoscia, la persecuzione?","Romani 8:35","Consolazione"
48,"Cercate il Signore, mentre lo si può trovare; invocatelo, mentre è vicino.","Isaia 55:6","Esortazione"
49,"Ecco, io sto alla porta e busso: se qualcuno ascolta la mia voce e apre, io entrerò.","Apocalisse 3:20","Edificazione"
50,"Beati i pacifici, perché saranno chiamati figli di Dio.","Matteo 5:9","Edificazione"
51,"Il Signore ti proteggerà da ogni male, egli proteggerà l'anima tua.","Salmo 121:7","Consolazione"
52,"La grazia del Signore Gesù Cristo, l'amore di Dio e la comunione dello Spirito Santo siano con tutti voi.","2 Corinzi 13:13","Edificazione"
53,"Operate la vostra salvezza con timore e tremore; è Dio infatti che produce in voi il volere e l'agire.","Filippesi 2:12-13","Esortazione"
54,"Ma voi siete una stirpe eletta, un sacerdozio regale, una gente santa.","1 Pietro 2:9","Edificazione"
55,"Pace a voi! Come il Padre mi ha mandato, anche io mando voi.","Giovanni 20:21","Esortazione"
56,"Poiché non abbiamo un sommo sacerdote che non possa simpatizzare con le nostre debolezze.","Ebrei 4:15","Consolazione"
57,"Sia fatta la tua volontà, come in cielo, così in terra.","Matteo 6:10","Esortazione"
58,"Il Signore è buono, una fortezza nel giorno della sventura; egli conosce quelli che si rifugiano in lui.","Naum 1:7","Consolazione"
59,"Tutto quello che fate, fatelo di buon animo, come per il Signore e non per gli uomini.","Colossesi 3:23","Esortazione"
60,"Dio infatti non ci ha dato uno spirito di paura, ma di forza, di amore e di disciplina.","2 Timoteo 1:7","Edificazione"
61,"Chi abita al riparo dell'Altissimo riposa all'ombra dell'Onnipotente.","Salmo 91:1","Consolazione"
62,"Questo è il giorno che il Signore ha fatto; rallegriamoci ed esultiamo in esso.","Salmo 118:24","Edificazione"
63,"Sopportatevi gli uni gli altri e perdonatevi a vicenda, se uno ha di che dolersi di un altro.","Colossesi 3:13","Esortazione"
64,"Io sono la vite, voi siete i tralci. Colui che dimora in me e nel quale io dimoro, porta molto frutto.","Giovanni 15:5","Edificazione"
65,"Umiliatevi dunque sotto la potente mano di Dio, affinché egli vi innalzi a suo tempo.","1 Pietro 5:6","Esortazione"
66,"Egli asciugherà ogni lacrima dai loro occhi e non ci sarà più la morte.","Apocalisse 21:4","Consolazione"
67,"Il frutto dello Spirito invece è amore, gioia, pace, pazienza, benevolenza, bontà, fedeltà.","Galati 5:22","Edificazione"
68,"Molte sono le afflizioni del giusto; ma il Signore lo libera da tutte.","Salmo 34:19","Consolazione"
69,"L'erba si secca, il fiore appassisce, ma la parola del nostro Dio dura per sempre.","Isaia 40:8","Edificazione"
70,"Non rendete male per male, né oltraggio per oltraggio, ma, al contrario, benedite.","1 Pietro 3:9","Esortazione"
71,"In questo è l'amore: non che noi abbiamo amato Dio, ma che egli ha amato noi.","1 Giovanni 4:10","Edificazione"
72,"Anche se andassi nella valle dell'ombra della morte, non temerei alcun male, perché tu sei con me.","Salmo 23:4","Consolazione"
73,"Vegliate, state fermi nella fede, comportatevi virilmente, fortificatevi.","1 Corinzi 16:13","Esortazione"
74,"Il Signore è la mia forza e il mio scudo; in lui ha confidato il mio cuore.","Salmo 28:7","Consolazione"
75,"Chi copre le sue colpe non prospererà, ma chi le confessa e le abbandona otterrà misericordia.","Proverbi 28:13","Esortazione"
76,"Ora dunque queste tre cose durano: fede, speranza, amore; ma la più grande di esse è l'amore.","1 Corinzi 13:13","Edificazione"
77,"Egli dà forza allo stanco e accresce il vigore a colui che è spossato.","Isaia 40:29","Consolazione"
78,"Non amate il mondo né le cose che sono nel mondo.","1 Giovanni 2:15","Esortazione"
79,"Siamo opera sua, essendo stati creati in Cristo Gesù per le opere buone.","Efesini 2:10","Edificazione"
80,"Non temere, credi solamente.","Marco 5:36","Consolazione"
81,"Ma sia il vostro parlare: ""Sì, sì""; ""No, no""; poiché il di più viene dal maligno.","Matteo 5:37","Esortazione"
82,"Io ho riposto la mia speranza nel Signore, nell'Eterno.","Salmo 71:5","Edificazione"
83,"Chi semina scarsamente mieterà altresì scarsamente; e chi semina abbondantemente mieterà altresì abbondantemente.","2 Corinzi 9:6","Esortazione"
84,"Poiché il Signore ama la giustizia e non abbandona i suoi santi.","Salmo 37:28","Consolazione"
85,"Ogni cosa è lecita, ma non ogni cosa è utile; ogni cosa è lecita, ma non ogni cosa edifica.","1 Corinzi 10:23","Edificazione"
86,"Entrate per la porta stretta, poiché larga è la porta e spaziosa la via che conduce alla perdizione.","Matteo 7:13","Esortazione"
87,"Il Signore è misericordioso e pietoso, lento all'ira e ricco di bontà.","Salmo 103:8","Consolazione"
88,"Non c'è sotto il cielo nessun altro nome che sia stato dato agli uomini, per mezzo del quale noi dobbiamo essere salvati.","Atti 4:12","Edificazione"
89,"Aspirate alle cose di lassù, non a quelle che sono sulla terra.","Colossesi 3:2","Esortazione"
90,"Guarisicimi, Signore, e sarò guarito; salvami, e sarò salvo.","Geremia 17:14","Consolazione"
91,"Chi ha pietà del povero presta al Signore, che gli contraccambierà l'opera buona.","Proverbi 19:17","Esortazione"
92,"Poiché noi siamo collaboratori di Dio, voi siete il campo di Dio, l'edificio di Dio.","1 Corinzi 3:9","Edificazione"
93,"Egli guarisce quelli che hanno il cuore rotto e fascia le loro ferite.","Salmo 147:3","Consolazione"
94,"Fuggi le passioni giovanili e ricerca la giustizia, la fede, l'amore, la pace.","2 Timoteo 2:22","Esortazione"
95,"Vi ho detto queste cose, affinché abbiate pace in me. Nel mondo avrete tribolazione; ma fatevi coraggio, io ho vinto il mondo.","Giovanni 16:33","Consolazione"
96,"Infatti non mi vergogno del Vangelo; perché esso è potenza di Dio per la salvezza.","Romani 1:16","Edificazione"
97,"Chi è fedele nelle cose minime, è fedele anche nelle grandi.","Luca 16:10","Esortazione"
98,"Le bontà del Signore non sono finite, le sue compassioni non sono esaurite; si rinnovano ogni mattina.","Lamentazioni 3:22-23","Consolazione"
99,"Il Signore regna; esulti la terra, gioiscano le isole numerose.","Salmo 97:1","Edificazione"
100,"Siate santi, perché io sono santo.","1 Pietro 1:16","Esortazione"
101,"Non abbiate alcun debito con nessuno, se non di amarvi gli uni gli altri.","Romani 13:8","Esortazione"
102,"Chi confida nel proprio cuore è uno stolto, ma chi cammina saggiamente scamperà.","Proverbi 28:26","Esortazione"
103,"Ecco, quanto è buono e quanto è piacevole che i fratelli dimorino assieme!","Salmo 133:1","Edificazione"
104,"Perché tu sei prezioso ai miei occhi, sei stimato e io ti amo.","Isaia 43:4","Consolazione"
105,"Nessuno ti disprezzi per la tua giovane età; ma sii di esempio ai credenti.","1 Timoteo 4:12","Esortazione"
106,"Poiché siete stati comprati a caro prezzo. Glorificate dunque Dio nel vostro corpo.","1 Corinzi 6:20","Esortazione"
107,"I cieli raccontano la gloria di Dio e il firmamento annuncia l'opera delle sue mani.","Salmo 19:1","Edificazione"
108,"Non aver paura, o piccolo gregge, perché al Padre vostro è piaciuto di darvi il regno.","Luca 12:32","Consolazione"
109,"Onora tuo padre e tua madre, affinché i tuoi giorni siano prolungati.","Esodo 20:12","Esortazione"
110,"Tu mi indicherai il sentiero della vita; c'è gioia piena alla tua presenza.","Salmo 16:11","Consolazione"
111,"Non c'è timore nell'amore; ma l'amore perfetto caccia via il timore.","1 Giovanni 4:18","Consolazione"
112,"Chi dunque sa fare il bene e non lo fa, commette peccato.","Giacomo 4:17","Esortazione"
113,"Il Signore è la mia rocca, la mia fortezza, il mio liberatore.","Salmo 18:2","Edificazione"
114,"Ho conservato la tua parola nel mio cuore per non peccare contro di te.","Salmo 119:11","Esortazione"
115,"La pace di Dio, che supera ogni intelligenza, custodirà i vostri cuori e i vostri pensieri.","Filippesi 4:7","Consolazione"
116,"Poiché da lui, per mezzo di lui e per lui sono tutte le cose.","Romani 11:36","Edificazione"
117,"Togliete via il lievito vecchio, per essere una nuova pasta.","1 Corinzi 5:7","Esortazione"
118,"L'uomo guarda all'apparenza, ma il Signore guarda al cuore.","1 Samuele 16:7","Edificazione"
119,"Beato l'uomo che sopporta la prova; perché, dopo averla superata, riceverà la corona della vita.","Giacomo 1:12","Consolazione"
120,"Andate dunque e fate miei discepoli tutti i popoli.","Matteo 28:19","Esortazione"
Giorno,Frase,Riferimento,Categoria
121,"Il nome del Signore è una forte torre; il giusto vi corre e vi trova rifugio.","Proverbi 18:10","Consolazione"
122,"Il Dio della speranza vi riempia di ogni gioia e pace nella fede.","Romani 15:13","Edificazione"
123,"Non cessate mai di pregare.","1 Tessalonicesi 5:17","Esortazione"
124,"Tu sei il mio rifugio e il mio scudo; io spero nella tua parola.","Salmo 119:114","Consolazione"
125,"Sono stato crocifisso con Cristo: non sono più io che vivo, ma Cristo vive in me.","Galati 2:20","Edificazione"
126,"In ogni cosa rendete grazie, perché questa è la volontà di Dio in Cristo Gesù verso di voi.","1 Tessalonicesi 5:18","Esortazione"
127,"Il Signore è colui che ti protegge; il Signore è la tua ombra alla tua destra.","Salmo 121:5","Consolazione"
128,"Un cuore allegro è una buona medicina, ma uno spirito abbattuto inaridisce le ossa.","Proverbi 17:22","Edificazione"
129,"Ciascuno dia secondo quanto ha deciso nel suo cuore, non con tristezza né per forza.","2 Corinzi 9:7","Esortazione"
130,"Il Signore tuo Dio è in mezzo a te come un potente che salva.","Sofonia 3:17","Consolazione"
131,"Perché dov'è il tuo tesoro, lì sarà anche il tuo cuore.","Matteo 6:21","Esortazione"
132,"Noi amiamo perché egli ci ha amati per primo.","1 Giovanni 4:19","Edificazione"
133,"Beato l'uomo che non cammina nel consiglio degli empi.","Salmo 1:1","Esortazione"
134,"Rallegratevi con quelli che sono allegri; piangete con quelli che piangono.","Romani 12:15","Esortazione"
135,"Ma la pietà è un grande guadagno, unita però ad uno spirito contento.","1 Timoteo 6:6","Edificazione"
136,"La mia grazia ti basta, perché la mia potenza si dimostra perfetta nella debolezza.","2 Corinzi 12:9","Consolazione"
137,"Non vi fate tesori sulla terra, dove la tignola e la ruggine consumano.","Matteo 6:19","Esortazione"
138,"Il timore del Signore è il principio della scienza.","Proverbi 1:7","Edificazione"
139,"Poiché il regno di Dio non è mangiare e bere, ma giustizia, pace e gioia nello Spirito Santo.","Romani 14:17","Edificazione"
140,"Cercate il bene e non il male, affinché viviate.","Amos 5:14","Esortazione"
141,"Ecco, io sono con voi tutti i giorni, fino alla fine dell'età presente.","Matteo 28:20","Consolazione"
142,"Portate i pesi gli uni degli altri e adempirete così la legge di Cristo.","Galati 6:2","Esortazione"
143,"Lodate il Signore, perché è buono; perché la sua bontà dura in eterno.","Salmo 136:1","Edificazione"
144,"Molti disegni sono nel cuore dell'uomo, ma il piano del Signore è quello che sussiste.","Proverbi 19:21","Edificazione"
145,"Avvicinatevi a Dio, ed egli si avvicinerà a voi.","Giacomo 4:8","Esortazione"
146,"Il Signore è la mia parte; perciò spererò in lui.","Lamentazioni 3:24","Consolazione"
147,"Non giudicate, affinché non siate giudicati.","Matteo 7:1","Esortazione"
148,"Beati quelli che ascoltano la parola di Dio e la osservano.","Luca 11:28","Edificazione"
149,"Egli fa ogni cosa bella al suo tempo.","Ecclesiaste 3:11","Edificazione"
150,"Ascolta, figlio mio, l'istruzione di tuo padre e non rifiutare l'insegnamento di tua madre.","Proverbi 1:8","Esortazione"
151,"Gridate di gioia al Signore, o abitanti di tutta la terra!","Salmo 100:1","Edificazione"
152,"Nessuno ha un amore più grande di questo: dare la propria vita per i propri amici.","Giovanni 15:13","Edificazione"
153,"L'anima generosa sarà saziata, e chi annaffia sarà annaffiato anch'egli.","Proverbi 11:25","Esortazione"
154,"Beato l'uomo a cui il Signore non imputa l'iniquità.","Salmo 32:2","Consolazione"
155,"Rivestitevi dunque di sentimenti di misericordia, di benevolenza, di umiltà, di mansuetudine, di pazienza.","Colossesi 3:12","Esortazione"
156,"La preghiera del giusto ha una grande efficacia.","Giacomo 5:16","Edificazione"
157,"L'odio provoca liti, ma l'amore copre ogni colpa.","Proverbi 10:12","Edificazione"
158,"Insegnaci dunque a contare i nostri giorni, per ottenere un cuore saggio.","Salmo 90:12","Esortazione"
159,"Non lasciarti vincere dal male, ma vinci il male con il bene.","Romani 12:21","Esortazione"
160,"Egli dà la neve come lana, sparge la brina come cenere.","Salmo 147:16","Edificazione"
161,"Chi è colui che vince il mondo, se non chi crede che Gesù è il Figlio di Dio?","1 Giovanni 5:5","Edificazione"
162,"Il cuore dell'uomo medita la sua via, ma il Signore dirige i suoi passi.","Proverbi 16:9","Consolazione"
163,"State sempre gioiosi.","1 Tessalonicesi 5:16","Esortazione"
164,"La lingua dolce è un albero di vita, ma la lingua perversa strazia lo spirito.","Proverbi 15:4","Edificazione"
165,"Il Signore ti guiderà sempre, sazierà l'anima tua nei luoghi aridi.","Isaia 58:11","Consolazione"
166,"Abbiate fede in Dio.","Marco 11:22","Esortazione"
167,"Il Signore è vicino a tutti quelli che lo invocano, a tutti quelli che lo invocano in verità.","Salmo 145:18","Consolazione"
168,"Nessuna parola malvagia esca dalla vostra bocca, ma se ne avete qualcuna buona, ditela.","Efesini 4:29","Esortazione"
169,"Chi cammina nell'integrità cammina sicuro, ma chi va per vie tortuose sarà scoperto.","Proverbi 10:9","Esortazione"
170,"Noi sappiamo che tutto coopera al bene di quelli che amano Dio.","Romani 8:28","Consolazione"
171,"Tutta la legge infatti è adempiuta in quest'unica parola: ""Ama il tuo prossimo come te stesso"".","Galati 5:14","Edificazione"
172,"Poiché il Signore dà la sapienza; dalla sua bocca procedono la scienza e l'intelligenza.","Proverbi 2:6","Edificazione"
